departamento,deuda,monto
Finanzas,Contribucion sobre Propiedad Exonerada,1454755.72
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),0.0
Finanzas,Amortizacion de Principal de Prestamos,668000.0
Finanzas,Intereses,662585.58
Finanzas,Reserva,124170.14
