departamento,deuda,monto
Finanzas,Contribucion sobre Propiedad Exonerada,4312723.14
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),0.0
Finanzas,Amortizacion de Principal de Prestamos,2552000.0
Finanzas,Intereses,1760723.14
Finanzas,Reserva,0.0
